Datetime,Timestamp,Sensor,Acao,Distancia_Pixels
2026-04-16 13:21:24.061,1776342084.0612082,Teclado,Key_Delete_Release,0
2026-04-16 13:21:24.138,1776342084.1382613,Teclado,Key_Delete_Press,0
2026-04-16 13:21:24.233,1776342084.2332363,Teclado,Key_Delete_Release,0
2026-04-16 13:21:24.306,1776342084.3069801,Teclado,Key_Delete_Press,0
2026-04-16 13:21:24.402,1776342084.4020717,Teclado,Key_Delete_Release,0
2026-04-16 13:21:24.468,1776342084.4684043,Teclado,Key_Delete_Press,0
2026-04-16 13:21:24.562,1776342084.5624375,Teclado,Key_Delete_Release,0
2026-04-16 13:21:24.631,1776342084.6316154,Teclado,Key_Delete_Press,0
2026-04-16 13:21:24.721,1776342084.721015,Teclado,Key_Delete_Release,0
2026-04-16 13:21:24.771,1776342084.7715795,Teclado,Key_Delete_Press,0
2026-04-16 13:21:24.889,1776342084.8892417,Teclado,Key_Delete_Release,0
2026-04-16 13:21:24.922,1776342084.922753,Teclado,Key_Space_Press,0
2026-04-16 13:21:25.022,1776342085.0223978,Teclado,Key_Space_Release,0
2026-04-16 13:21:25.209,1776342085.209451,Teclado,Key_WASD_Press,0
2026-04-16 13:21:25.299,1776342085.2992892,Teclado,Key_WASD_Release,0
2026-04-16 13:21:25.303,1776342085.3036892,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:25.394,1776342085.3949978,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:25.410,1776342085.4106276,Teclado,Key_Space_Press,0
2026-04-16 13:21:25.495,1776342085.4952881,Teclado,Key_Space_Release,0
2026-04-16 13:21:25.632,1776342085.6325848,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:25.701,1776342085.7018502,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:25.946,1776342085.9460764,Teclado,Key_Delete_Press,0
2026-04-16 13:21:26.036,1776342086.036444,Teclado,Key_Delete_Release,0
2026-04-16 13:21:26.042,1776342086.0421607,Teclado,Key_AlphaNumeric_Press,0
